AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,204.0,0.0784313725490196,0.2549019607843137,10.0,0.46,1.0,25.0,0.0,1.0,0.0,7.0,11.25,6.75,4.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,43.0,0.1627906976744186,0.1395348837209302,1.0,1.77,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,41.0,0.0975609756097561,0.2439024390243902,1.0,1.18,1.0,5.0,0.0,1.0,0.0,6.0,6.0,1.0,0.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,205.0,0.0634146341463414,0.1609756097560975,4.0,0.73,1.0,15.0,0.0,2.0,18.0,1.7272727272727273,3.090909090909091,2.090909090909091,2.0,0
1.0,1.0,0.0,0.5,1.0,0.0285714285714285,0.0,0.9714285714285714,374.0,0.1390374331550802,0.1657754010695187,8.0,0.48,2.0,12.0,2.0,1.0,73.0,5.545454545454546,2.9393939393939394,1.5757575757575757,2.0,0
4.0,1.0,0.0,0.5,1.0,0.0,0.0,0.375,229.0,0.2008733624454148,0.2532751091703056,7.0,0.22,1.0,5.5,0.0,3.0,7.0,2.375,2.375,13.0,2.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8,53.0,0.1320754716981132,0.2830188679245283,2.0,0.77,2.0,4.0,1.0,3.0,0.0,1.2,2.0,1.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,82.0,0.1585365853658536,0.2195121951219512,2.0,0.44,1.0,3.0,0.0,1.0,75.0,1.6,2.0,1.2,1.0,0
1.0,0.0,0.2,0.0,0.9473684210526316,0.0,0.0,0.9473684210526316,268.0,0.0932835820895522,0.1641791044776119,2.0,2.24,1.0,3.75,14.5,1.0,16.5,5.941176470588236,1.1176470588235294,0.7647058823529411,1.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,82.0,0.1463414634146341,0.3048780487804878,2.0,0.46,1.0,14.0,0.0,4.0,0.0,1.125,1.875,1.125,1.0,0
2.0,1.0,0.0,1.0,1.0,0.4482758620689655,0.0,0.5517241379310345,515.0,0.145631067961165,0.341747572815534,8.0,0.1,1.5,14.0,0.0,2.0,62.0,4.758620689655173,3.4482758620689653,2.2758620689655173,3.0,0
1.0,1.0,1.0,0.0,0.8571428571428571,0.1428571428571428,0.0,0.8571428571428571,84.0,0.1428571428571428,0.3333333333333333,1.0,0.53,1.0,12.0,0.0,2.0,57.0,3.7142857142857135,2.4285714285714284,1.0,0.0,0
0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,64.0,0.171875,0.234375,1.0,0.89,1.0,2.0,0.0,2.0,60.0,1.8,1.4,1.0,0.0,0
1.0,0.0,0.0,0.1,1.0,0.072289156626506,0.0120481927710843,0.9156626506024096,776.0,0.1237113402061855,0.2345360824742268,8.0,0.25,1.1111111111111112,6.444444444444445,0.4444444444444444,2.0,46.22222222222222,3.345679012345679,2.4074074074074074,2.234567901234568,4.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,43.0,0.1627906976744186,0.3023255813953488,1.0,0.89,1.0,6.0,0.0,2.0,0.0,3.333333333333333,1.3333333333333333,1.0,0.0,0
2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,75.0,0.1466666666666666,0.2533333333333333,3.0,0.48,1.0,13.0,0.0,1.0,25.0,8.0,6.0,2.0,2.0,0
3.0,1.0,0.5,3.0,0.9615384615384616,0.0256410256410256,0.0,0.9615384615384616,1220.0,0.1172131147540983,0.1647540983606557,29.0,0.07,2.2,11.0,0.0,2.0,16.6,4.7631578947368425,4.0131578947368425,639.8947368421053,3.0,0
4.0,2.0,0.0,0.0,1.0,0.0,0.25,0.75,159.0,0.1069182389937107,0.2830188679245283,12.0,0.21,1.0,15.0,0.0,2.0,57.0,4.25,6.5,9.0,2.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,161.0,0.2049689440993788,0.2049689440993788,1.0,0.56,1.0,2.0,0.0,1.0,85.0,2.85,1.5,1.0,0.0,0
