IssueId,CommitId,File,Version
HIVE-13945,1b5ee3d88799a5e80948b7b0f5ca96bba8580efe,ql/src/java/org/apache/hadoop/hive/ql/udf/ptf/WindowingTableFunction.java,2.1.0
HIVE-13945,1b5ee3d88799a5e80948b7b0f5ca96bba8580efe,ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToShort.java,2.1.0
HIVE-13945,1b5ee3d88799a5e80948b7b0f5ca96bba8580efe,ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToLong.java,2.1.0
HIVE-13945,1b5ee3d88799a5e80948b7b0f5ca96bba8580efe,ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToInteger.java,2.1.0
HIVE-13987,53e01e4a5cd88fe04fa67031b8c3183084b287cf,beeline/src/java/org/apache/hive/beeline/BeeLine.java,2.0.1
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/OrcTail.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/HadoopShims.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/HadoopShimsCurrent.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/HadoopShims_2_2.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/InStream.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/PositionProvider.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/IntegerWriter.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/OrcIndex.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/MemoryManager.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/PhysicalWriter.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/OutStream.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/DynamicIntArray.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/OrcAcidUtils.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/IntegerReader.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/DynamicByteArray.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/FileFormatException.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/impl/DataReaderProperties.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/DataReader.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/CompressionKind.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/CompressionCodec.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/ColumnStatistics.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/BooleanColumnStatistics.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/BloomFilterIO.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/java/org/apache/orc/BinaryColumnStatistics.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,orc/src/gen/protobuf-java/org/apache/orc/OrcProto.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,llap-server/src/java/org/apache/hadoop/hive/llap/io/metadata/OrcStripeMetadata.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/VertorDeserializeOrcWriter.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/SerDeEncodedDataReader.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/OrcEncodedDataReader.java,2.2.0
HIVE-14007,d7f71fb4a6d39765a580568c6dd8b1ac2c9c708a,llap-server/src/java/org/apache/hadoop/hive/llap/io/decode/ReadPipeline.java,2.2.0
