AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,40.0,0.125,0.25,1.0,0.94,1.0,4.0,0.0,1.0,33.0,2.333333333333333,2.333333333333333,1.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,40.0,0.125,0.15,2.0,1.69,1.0,4.0,1.0,2.0,0.0,1.6666666666666667,2.333333333333333,1.0,1.0,0
5.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,104.0,0.125,0.1923076923076923,9.0,0.38,1.0,15.0,0.0,2.0,0.0,6.0,10.5,96.5,2.0,0
3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,139.0,0.0719424460431654,0.2517985611510791,11.0,0.24,2.0,9.0,0.0,1.0,45.0,5.166666666666667,4.333333333333333,12.833333333333334,4.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,44.0,0.1590909090909091,0.1590909090909091,1.0,1.31,1.0,1.0,3.0,1.0,0.0,31.5,2.0,1.0,0.0,0
3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,86.0,0.0697674418604651,0.1162790697674418,7.0,0.6,1.0,5.0,1.0,3.0,0.0,4.666666666666667,4.333333333333333,3.0,4.0,0
2.0,1.0,0.0,0.0,1.0,0.25,0.0,0.75,71.0,0.1408450704225352,0.2112676056338028,3.0,0.74,1.0,6.0,0.0,1.0,50.0,3.75,3.25,1.5,1.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,65.0,0.1076923076923077,0.2461538461538461,3.0,0.87,2.0,5.5,0.0,1.0,0.0,3.5,3.0,2.5,2.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,0.081081081081081,0.1081081081081081,0.0,5.8,1.0,0.0,2.0,4.0,0.0,2.5,1.0,0.0,0.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,59.0,0.1525423728813559,0.2711864406779661,2.0,0.72,1.0,9.0,0.0,3.0,66.0,3.0,3.6666666666666665,1.3333333333333333,1.0,0
1.0,1.0,1.7142857142857142,0.8571428571428571,0.6923076923076923,0.1794871794871795,0.0512820512820512,0.7692307692307693,492.0,0.1036585365853658,0.258130081300813,11.0,0.13,1.4285714285714286,10.142857142857142,0.0,3.0,12.857142857142858,4.871794871794871,3.641025641025641,4.666666666666667,4.0,0
3.0,1.0,0.0,0.6666666666666666,1.0,0.3846153846153846,0.3846153846153846,0.2307692307692307,455.0,0.1472527472527472,0.2945054945054945,10.0,0.22,1.6666666666666667,30.666666666666668,0.0,2.0,0.0,4.846153846153846,9.923076923076923,14.461538461538462,5.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,71.0,0.1971830985915492,0.2535211267605634,1.0,0.58,1.0,5.0,2.0,1.0,66.0,3.125,1.625,0.75,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.875,102.0,0.1274509803921568,0.2647058823529412,2.0,0.56,2.0,6.0,1.0,3.0,0.0,2.125,2.125,1.5,1.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,133.0,0.1353383458646616,0.3082706766917293,4.0,0.46,1.0,5.0,0.0,3.0,12.5,3.6,3.4,2.8,2.0,0
