AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,0.12,0.32,1.0,0.91,1.0,4.0,0.0,3.0,0.0,0.3333333333333333,1.0,1.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,122.0,0.1311475409836065,0.3032786885245901,2.0,0.29,2.0,14.0,0.0,1.0,61.0,1.9090909090909087,2.8181818181818183,1.0909090909090908,1.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39.0,0.1025641025641025,0.1282051282051282,0.0,4.83,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0566037735849056,0.0,0.9433962264150944,773.0,0.0905562742561448,0.1371280724450194,5.0,0.63,1.6666666666666667,5.333333333333333,0.0,1.0,26.666666666666668,2.660377358490566,3.867924528301887,2.169811320754717,3.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,0.1153846153846153,0.1923076923076923,0.0,3.18,0.0,4.0,2.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0
4.0,3.0,1.0,2.0,0.5,0.5,0.0,0.5,113.0,0.1327433628318584,0.2035398230088495,7.0,0.61,1.0,10.0,0.0,1.0,0.0,6.5,8.5,6.0,3.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,0.064516129032258,0.0967741935483871,0.0,7.29,1.0,4.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0
3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,66.0,0.106060606060606,0.303030303030303,4.0,0.55,1.0,6.0,0.0,2.0,0.0,2.0,4.0,3.0,2.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,46.0,0.108695652173913,0.2391304347826087,2.0,1.28,1.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,0
8.0,1.0,3.0,7.0,0.0,0.0,0.0,0.6666666666666666,211.0,0.0805687203791469,0.2796208530805687,21.0,0.21,1.0,32.0,0.0,1.0,0.0,6.666666666666667,16.333333333333332,6241.333333333333,4.0,0
