File,Version,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloConnectionParameters.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloConnectionParameters.java,1.0,1.0,1.0,1.0,9.0,0.0,6.0,1.0,1.0,0.0,9.0,17.0,17.0,2.0,17.0,3.0,0.0,0.0,14.0,230.0,39.0,142.0,56.0,78.0,49.0,75.0,105.0,56.0,61.0,4.0,4.0,4.0,0.35,29.0,29.0,30.0,17.0,1.0,18.0,1.0,1.0,70.0,6.176470588235294,3.9411764705882355,2.0588235294117645,2.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloHiveRow.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloHiveRow.java,2.0,2.0,2.0,1.0,8.0,0.0,7.0,0.0,2.0,0.0,0.0,21.0,21.0,5.0,21.0,0.0,0.0,0.0,21.0,247.0,36.0,185.0,63.0,97.0,26.0,93.0,143.0,62.0,93.0,10.0,10.0,10.0,0.14,44.0,44.0,46.0,38.0,1.5,8.5,0.0,1.0,33.5,6.142857142857143,3.142857142857143,2.6666666666666665,3.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloStorageHandler.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\AccumuloStorageHandler.java,2.0,2.0,2.0,1.0,14.0,1.0,11.0,1.0,1.0,0.0,2.0,21.0,21.0,4.0,21.0,0.0,0.0,3.0,18.0,408.0,54.0,305.0,125.0,154.0,49.0,142.0,196.0,100.0,121.0,9.0,9.0,9.0,0.16,57.0,57.0,58.0,26.0,3.0,53.0,0.0,2.0,90.0,4.476190476190476,4.142857142857143,5.571428571428571,4.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\HiveAccumuloHelper.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\HiveAccumuloHelper.java,2.0,2.0,2.0,1.0,29.0,1.0,13.0,14.0,1.0,0.0,17.0,8.0,8.0,0.0,8.0,1.0,0.0,0.0,7.0,315.0,29.0,149.0,83.0,91.0,137.0,85.0,105.0,68.0,60.0,5.0,5.0,6.0,0.92,20.0,20.0,21.0,10.0,1.0,26.0,0.0,1.0,0.0,8.75,5.75,2.75,2.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\LazyAccumuloMap.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\LazyAccumuloMap.java,2.0,2.0,3.0,1.0,17.0,2.0,12.0,2.0,1.0,0.0,0.0,6.0,6.0,2.0,6.0,0.0,0.0,1.0,5.0,155.0,25.0,95.0,42.0,49.0,35.0,53.0,72.0,39.0,44.0,6.0,6.0,7.0,0.37,17.0,17.0,19.0,11.0,1.0,17.0,0.0,4.0,66.0,5.833333333333333,8.5,4.333333333333333,2.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\LazyAccumuloRow.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\LazyAccumuloRow.java,2.0,2.0,2.0,1.0,13.0,1.0,12.0,0.0,1.0,0.0,1.0,7.0,7.0,4.0,7.0,0.0,2.0,1.0,4.0,158.0,18.0,113.0,46.0,58.0,27.0,64.0,84.0,43.0,47.0,6.0,6.0,7.0,0.24,19.0,19.0,20.0,9.0,1.0,25.0,0.0,4.0,71.0,5.857142857142857,7.285714285714286,3.2857142857142856,2.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\Utils.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\Utils.java,4.0,4.0,4.0,2.0,28.0,1.0,19.0,7.0,1.0,10.0,1.0,10.0,0.0,0.0,10.0,0.0,7.0,0.0,3.0,354.0,24.0,233.0,87.0,146.0,97.0,144.0,186.0,86.0,137.0,8.0,8.0,8.0,0.42,43.0,43.0,46.0,21.0,1.0,36.0,0.0,1.0,0.0,4.4,12.3,6.1,5.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnMapper.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnMapper.java,2.0,2.0,2.0,1.0,12.0,1.0,10.0,1.0,1.0,0.0,1.0,10.0,10.0,4.0,10.0,0.0,0.0,0.0,10.0,182.0,28.0,119.0,38.0,69.0,35.0,60.0,84.0,36.0,53.0,7.0,7.0,8.0,0.29,23.0,23.0,25.0,12.0,1.0,22.0,0.0,1.0,62.0,8.2,5.3,5.1,3.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnMapping.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnMapping.java,1.0,1.0,1.0,1.0,8.0,0.0,5.0,2.0,1.0,0.0,0.0,6.0,6.0,4.0,6.0,0.0,0.0,2.0,4.0,95.0,15.0,43.0,16.0,20.0,37.0,27.0,34.0,14.0,20.0,1.0,1.0,1.0,0.86,6.0,6.0,6.0,6.0,1.0,4.0,3.0,1.0,50.0,6.0,2.8333333333333335,1.0,0.0
accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnMappingFactory.java,3.1.3,accumulo-handler\src\java\org\apache\hadoop\hive\accumulo\columns\ColumnMappingFactory.java,5.0,5.0,5.0,3.0,35.0,5.0,25.0,5.0,1.0,4.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,181.0,28.0,112.0,29.0,75.0,41.0,48.0,69.0,25.0,54.0,8.0,8.0,8.0,0.37,20.0,20.0,20.0,14.0,1.0,17.0,0.0,1.0,0.0,10.0,11.5,16.25,4.0
