File,Version,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\MutableRecord.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\MutableRecord.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,50.0,8.0,22.0,11.0,7.0,20.0,13.0,17.0,10.0,7.0,1.0,1.0,1.0,0.91,3.0,3.0,3.0,3.0,1.0,4.0,0.0,1.0,0.0,5.333333333333333,3.0,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\ReflectiveMutatorFactory.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\ReflectiveMutatorFactory.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,68.0,9.0,42.0,28.0,9.0,17.0,25.0,30.0,23.0,7.0,1.0,1.0,1.0,0.4,4.0,4.0,4.0,4.0,2.0,14.0,0.0,1.0,25.0,6.25,3.0,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\StreamingAssert.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\StreamingAssert.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,3.0,0.0,0.0,14.0,14.0,13.0,14.0,3.0,1.0,0.0,10.0,197.0,29.0,149.0,74.0,65.0,19.0,97.0,121.0,70.0,61.0,3.0,3.0,3.0,0.13,20.0,20.0,20.0,14.0,1.0,13.333333333333334,0.0,1.0,41.333333333333336,5.928571428571429,6.0,1.5,1.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\StreamingTestUtils.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\StreamingTestUtils.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,4.0,2.0,1.0,22.0,20.0,10.0,22.0,0.0,1.0,0.0,21.0,283.0,37.0,228.0,83.0,112.0,20.0,138.0,183.0,84.0,108.0,7.0,7.0,7.0,0.09,37.0,37.0,37.0,22.0,1.0,13.5,0.0,2.0,23.75,4.2727272727272725,5.7272727272727275,3.590909090909091,2.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\TestMutations.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\TestMutations.java,1.0,1.0,1.0,1.0,41.0,8.0,32.0,0.0,1.0,0.0,5.0,11.0,11.0,9.0,11.0,0.0,0.0,0.0,11.0,546.0,114.0,401.0,190.0,328.0,31.0,270.0,282.0,140.0,230.0,1.0,1.0,1.0,0.08,11.0,11.0,11.0,11.0,1.0,32.0,0.0,1.0,50.0,7.090909090909091,24.818181818181817,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\TestAcidTableSerializer.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\TestAcidTableSerializer.java,1.0,1.0,1.0,1.0,24.0,2.0,21.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,83.0,12.0,54.0,23.0,37.0,17.0,38.0,41.0,20.0,29.0,1.0,1.0,1.0,0.31,2.0,2.0,2.0,2.0,1.0,14.0,0.0,1.0,0.0,1.5,21.5,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\TestMutatorClient.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\TestMutatorClient.java,1.0,1.0,1.0,1.0,13.0,1.0,12.0,0.0,1.0,0.0,7.0,8.0,8.0,9.0,8.0,0.0,0.0,0.0,8.0,193.0,29.0,147.0,70.0,77.0,17.0,103.0,115.0,54.0,68.0,2.0,2.0,2.0,0.12,11.0,11.0,11.0,8.0,1.0,26.0,0.0,1.0,62.0,5.625,10.125,1.375,1.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\TestTransaction.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\TestTransaction.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,2.0,8.0,8.0,3.0,8.0,0.0,0.0,0.0,8.0,112.0,20.0,75.0,40.0,27.0,17.0,43.0,53.0,29.0,24.0,2.0,2.0,2.0,0.23,9.0,9.0,9.0,8.0,1.0,14.0,0.0,1.0,25.0,3.625,6.0,1.125,1.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\lock\TestHeartbeatTimerTask.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\lock\TestHeartbeatTimerTask.java,1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,1.0,1.0,3.0,8.0,7.0,3.0,8.0,0.0,1.0,0.0,7.0,117.0,25.0,75.0,46.0,28.0,17.0,47.0,56.0,36.0,26.0,1.0,1.0,1.0,0.23,8.0,8.0,8.0,8.0,1.0,15.0,0.0,1.0,20.0,4.125,5.375,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\lock\TestLock.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\client\lock\TestLock.java,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,9.0,25.0,24.0,9.0,25.0,0.0,1.0,0.0,24.0,338.0,48.0,273.0,147.0,138.0,17.0,179.0,205.0,111.0,124.0,1.0,1.0,1.0,0.06,25.0,25.0,25.0,25.0,1.0,38.0,0.0,1.0,73.0,4.4,6.6,1.0,0.0
