Name,Version,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
HadoopDefaultMetastoreAuthenticator.java,2.3.5,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,31.0,5.0,9.0,6.0,1.0,17.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.89,1.0,1.0,1.0,1.0
HadoopJobExecHelper.java,2.3.5,3.0,3.0,3.0,1.0,18.0,1.0,14.0,2.0,3.0,3.0,2.0,28.0,25.0,13.0,28.0,3.0,7.0,0.0,18.0,659.0,89.0,480.0,155.0,298.0,92.0,259.0,356.0,154.0,250.0,31.0,31.0,35.0,0.19,90.0,90.0,95.0,35.0
HadoopJobExecHook.java,2.3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,32.0,6.0,9.0,8.0,0.0,17.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0
HadoopShims.java,2.3.5,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,14.0,1.0,0.0,104.0,109.0,10.0,110.0,26.0,0.0,0.0,84.0,665.0,97.0,229.0,200.0,8.0,342.0,148.0,169.0,161.0,8.0,2.0,2.0,2.0,1.49,10.0,10.0,10.0,9.0
HadoopShims.java,2.3.5,1.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,7.0,1.0,1.0,11.0,12.0,4.0,13.0,5.0,0.0,0.0,8.0,143.0,15.0,50.0,34.0,10.0,78.0,25.0,35.0,30.0,8.0,3.0,3.0,5.0,1.56,3.0,3.0,5.0,1.0
HadoopShimsCurrent.java,2.3.5,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,7.0,7.0,2.0,7.0,1.0,0.0,0.0,6.0,92.0,14.0,58.0,28.0,19.0,20.0,21.0,32.0,21.0,11.0,4.0,2.0,4.0,0.34,10.0,8.0,10.0,7.0
HadoopShimsSecure.java,2.3.5,1.0,1.0,1.0,1.0,10.0,0.0,8.0,1.0,4.0,1.0,2.0,35.0,34.0,13.0,35.0,0.0,2.0,1.0,32.0,395.0,59.0,287.0,138.0,113.0,50.0,138.0,184.0,100.0,91.0,6.0,6.0,8.0,0.17,42.0,42.0,45.0,25.0
HadoopShims_2_2.java,2.3.5,2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,2.0,0.0,0.0,6.0,6.0,3.0,6.0,1.0,0.0,0.0,5.0,101.0,12.0,68.0,29.0,29.0,21.0,29.0,45.0,24.0,22.0,5.0,5.0,5.0,0.31,13.0,13.0,13.0,6.0
HadoopThriftAuthBridge.java,2.3.5,2.0,2.0,2.0,1.0,12.0,0.0,10.0,1.0,14.0,2.0,5.0,37.0,37.0,12.0,39.0,3.0,3.0,5.0,28.0,652.0,73.0,478.0,161.0,271.0,105.0,219.0,310.0,144.0,195.0,12.0,12.0,12.0,0.22,85.0,84.0,87.0,51.0
HadoopThriftAuthBridge23.java,2.3.5,4.0,4.0,4.0,4.0,31.0,0.0,20.0,11.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,107.0,9.0,58.0,19.0,31.0,40.0,26.0,36.0,15.0,22.0,4.0,4.0,4.0,0.69,4.0,4.0,4.0,4.0
